1	1	OF
1	2	IN
1	3	OF
1	4	IN
1	5	2007
1	6	Cy
1	7	HA
1	8	IN THE
2	1	PEACE
2	2	SERVICE
2	3	AND
2	4	FREEDOM
2	5	COMMEMORATION
2	6	BRITISH
2	7	__NOTEXT__
2	8	MILITARY
3	1	WHO
3	2	BOSNIA
3	3	PERSONNEL
3	4	SERVED
3	5	HERZEGOVINA
3	6	1992-
3	7	СЛУЖБИ
3	8	МИРА
4	1	ПРИПАДНИКЕ
4	2	ЗНАК
4	3	СЛОБОДЕ
4	4	СЈЕЋАЊА
4	5	КОЈИ
4	6	БРИТАНСКЕ
4	7	БОСНИ
4	8	СЛУЖИЛИ
5	1	ВОЈСКЕ
5	2	ХЕРЦЕГОВИНИ
5	3	1992-
5	4	-2007
5	5	P
5	6	A43-M-01
5	7	A43-
5	8	530-A-167
6	1	AMBASADOR
6	2	ANDRZEJ KRAWCZYK
6	3	POLJSKA
6	4	2016.
6	5	MBASADOR
6	6	ANDRZEJ
6	7	TYSZKIEWICZ
6	8	REPUBLIKA
7	1	POLJSKA
7	2	__NOTEXT__
7	3	SA OVOG MJESTA 28.JUNA 1914.GODINE
7	4	GAVRILO PRINCIP JE IZVRŠIO ATENTAT NA
7	5	AUSTROUGARSKOG PRESTOLONASLJEDNIKA
7	6	FRANCA FERDINANDA I NJEGOVU SUPRUGU
7	7	SOFIJU
7	8	FROM THIS PLACE
8	1	ON 28 JUNE 1914
8	2	GAVRILO PRINCIP ASSASSINATED THE HEIR
8	3	TO THE AUSTRO-HUNGARIAN THRONE
8	4	FRANZ FERDINAND AND HIS WIFE SOFIA
8	5	ГРАД
8	6	CITY OF
8	7	БАЊА ЛУКА
8	8	BANJA LUKA
9	1	ГРАДОВИ ПАРТНЕРИ
9	2	CITY OF PARTNERS
9	3	ПАТРА
9	4	PATRAS
9	5	МОСКВА
9	6	MOSCOW
9	7	БЕОГРАД
9	8	BELGRADE
