case_id	source	bs	en	terms	categories	accept_en	variant_bs	variant_swaps
flores-0	flores	Naučnici sa Medicinskog fakulteta Univerziteta u Stanfordu su u ponedjeljak najavili izum novog dijagnostičkog alata koji može da sortira stanice prema tipu: maleni čip koji se može štampati i proizvoditi korištenjem standardnih tintnih štampača za oko jedan američki cent.	On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.	univerziteta	lex	university		
flores-19	flores	Ma, rođen u Hong Kongu, studirao je na Univerzitetu u New Yorku i Pravnom fakultetu Harvard, a jednom je imao i američki „zeleni karton“, odnosno dozvolu stalnog boravka.	"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card""."	univerzitetu	lex	university		
flores-20	flores	Hsieh je naglasio tokom izbora da bi Ma mogao napustiti državu u vrijeme krize.	Hsieh implied during the election that Ma might flee the country during a time of crisis.	vrijeme	yat	time	Hsieh je naglasio tokom izbora da bi Ma mogao napustiti državu u vreme krize.	vrijeme>vreme
flores-28	flores	Diplomirao je na Fakultetu nauka i umjetnosti Univerziteta u Virdžiniji 1950. godine, te je bio važan donator za tu instituciju.	He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.	umjetnosti|univerziteta	yat|lex	arts|university	Diplomirao je na Fakultetu nauka i umetnosti Univerziteta u Virdžiniji 1950. godine, te je bio važan donator za tu instituciju.	umjetnosti>umetnosti
flores-32	flores	Nakon što su vozila ispred Alonsa otišla da natoče gorivo dok je sigurnosni automobil bio na stazi, on je krenuo po pobjedu.	As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.	pobjedu	yat	victory	Nakon što su vozila ispred Alonsa otišla da natoče gorivo dok je sigurnosni automobil bio na stazi, on je krenuo po pobedu.	pobjedu>pobedu
flores-34	flores	Tačno u 8:46 sati ujutro prekinuta je tišina u gradu, a to je bio trenutak kada je prvi avion pogodio metu.	At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.	tačno	lex	exactly	Točno u 8:46 sati ujutro prekinuta je tišina u gradu, a to je bio trenutak kada je prvi avion pogodio metu.	Tačno>Točno
flores-35	flores	Dvije svjetlosne zrake su okrenute tako da pokazuju prema nebu u toku noći.	Two beams of light have been rigged up to point skywards overnight.	dvije	yat	two	Dve svjetlosne zrake su okrenute tako da pokazuju prema nebu u toku noći.	Dvije>Dve
flores-36	flores	Na tom mjestu se gradi pet novih nebodera, a u sredini su centar za prijevoz i memorijalni park.	Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.	prijevoz	yat	transportation	Na tom mjestu se gradi pet novih nebodera, a u sredini su centar za prevoz i memorijalni park.	prijevoz>prevoz
flores-37	flores	Emisija PBS-a ima više od dvije desetine nagrada Emmy, a njeno prikazivanje je trajalo kraće samo od Ulice Sezam i Susjedstva gospodina Rodžersa.	The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.	dvije	yat	two	Emisija PBS-a ima više od dve desetine nagrada Emmy, a njeno prikazivanje je trajalo kraće samo od Ulice Sezam i Susjedstva gospodina Rodžersa.	dvije>dve
flores-39	flores	U svakoj emisiji daju se i preporuke za knjige koje djeca trebaju tražiti kada idu u biblioteku.	Each show would also provide recommendations for books that children should look for when they went to their library.	djeca	yat	children	U svakoj emisiji daju se i preporuke za knjige koje deca trebaju tražiti kada idu u biblioteku.	djeca>deca
