text	kind	city	script	has_diacritic
"ENTER" s.p. Računovodstvo	amenity	Trebinje	latin	1
"Hare" Buregdžinica	amenity	Goražde	latin	1
"I am" škola stranih jezika	amenity	Sarajevo	latin	1
"L"-Station	amenity	Zenica	latin	0
"MUP-administracija" i PIO	amenity	Cazin	latin	0
"TAKO" škola keramike	amenity	Sarajevo	latin	1
#INS	amenity	Istočno Sarajevo	latin	0
#Vihovići	amenity	Mostar	latin	1
''BETA-PLAN''d.o.o. Doboj	amenity	Doboj	latin	0
360 Food	amenity	Mostar	latin	0
365 Restaurant & Hotel	amenity	Brčko	latin	0
4 sobe gospođe Safije	amenity	Sarajevo	latin	1
4. април	amenity	Bijeljina	cyrillic	0
71214 Butmir	amenity	Sarajevo	latin	0
76110 Brčko HP	amenity	Brčko	latin	1
76300 Bijeljina	amenity	Bijeljina	latin	0
77000 Bihać	amenity	Bihać	latin	1
77220 Cazin	amenity	Cazin	latin	0
79101 Prijedor	amenity	Prijedor	latin	0
8. Mart	amenity	Prijedor	latin	0
A & M	amenity	Sarajevo	latin	0
A Dent Stomatološka ordinacija	amenity	Banja Luka	latin	1
A.E. Sigurnost	amenity	Travnik	latin	0
A2	amenity	Sarajevo	latin	0
A2B	amenity	Tuzla	latin	0
ABA	amenity	Travnik	latin	0
AC-Wash	amenity	Mostar	latin	0
ADvantage Restaurant & Club	amenity	Cazin	latin	0
ALTA Shopping Centar	amenity	Sarajevo	latin	0
APARTMANI VILA BERTA TUZLA	amenity	Tuzla	latin	0
ART Bar & Кafe	amenity	Trebinje	cyrillic	0
ART Caffe Da Vinci	amenity	Tuzla	latin	0
AS 1	amenity	Mostar	latin	0
ASA Banka	amenity	Sarajevo	latin	0
ASA banka	amenity	Tuzla	latin	0
ASD	amenity	Bihać	latin	0
ASPEK	amenity	Sarajevo	latin	0
ATOS Bank	amenity	Banja Luka	latin	0
AURA Osiguranje - poslovnica Cazin	amenity	Cazin	latin	0
AVP Jadransko more Mostar	amenity	Mostar	latin	0
Abc pizza	amenity	Mostar	latin	0
Aca Desetka	amenity	Banja Luka	latin	0
Academia	amenity	Mostar	latin	0
Academia del caffe	amenity	Sarajevo	latin	0
Acibadem	amenity	Tuzla	latin	0
Acoustic Pub	amenity	Livno	latin	0
Ada-M	amenity	Bihać	latin	0
AdaCampsite	amenity	Bihać	latin	0
Add Car Sarajevo	amenity	Sarajevo	latin	0
Addiko	amenity	Trebinje	latin	0
Addiko Bank	amenity	Sarajevo	latin	0
Addiko bankomat	amenity	Sarajevo	latin	0
Adi	amenity	Bihać	latin	0
Adi Guesthouse	amenity	Mostar	latin	0
Adian	amenity	Bihać	latin	0
Admiral	amenity	Banja Luka	latin	0
Admiral Caffe	amenity	Brčko	latin	0
Adna benzinska pumpa	amenity	Bihać	latin	0
Adriatic osiguranje	amenity	Tuzla	latin	0
Adv. Vahid Čamdžić	amenity	Tuzla	latin	1
Advokat Mehmedagić Saša	amenity	Doboj	latin	1
Advokatska kancelarija Topić & Makarić	amenity	Banja Luka	latin	1
Agencija "NETWORK"	amenity	Sarajevo	latin	0
Agencija za Bankarstvo FBiH - Mostar	amenity	Mostar	latin	0
Agencija za bezbjednost saobraćaja	amenity	Banja Luka	latin	1
Agencija za državnu službu BiH	amenity	Sarajevo	latin	1
Agencija za knjigovodstvo "Nada"	amenity	Banja Luka	latin	0
Agencija za knjigovodstvo Eleco	amenity	Tuzla	latin	0
Agencija za mirno rešenje radnih sporova	amenity	Banja Luka	latin	1
Agencija za osiguranje depozita Bosne i Hercegovine, filijala Banja Luka	amenity	Banja Luka	latin	0
Ahar	amenity	Sarajevo	latin	0
Aj'Zdravo	amenity	Banja Luka	latin	0
Ajax apartman	amenity	Banja Luka	latin	0
Akademija	amenity	Banja Luka	latin	0
Akademija Radosti	amenity	Sarajevo	latin	0
Akademija likovnih umjetnosti	amenity	Trebinje	latin	0
Akademika	amenity	Tuzla	latin	0
Al Parco	amenity	Banja Luka	latin	0
Al hana	amenity	Sarajevo	latin	0
Al'hana	amenity	Sarajevo	latin	0
Alabajči	amenity	Tuzla	latin	1
Alas	amenity	Banja Luka	latin	0
Aleksa Šantić	amenity	Mostar	latin	1
Aleksandrija	amenity	Banja Luka	latin	0
Aleksina međa (Salatić)	amenity	Trebinje	latin	1
Alečkovića kolo	amenity	Trebinje	latin	1
Alf	amenity	Mostar	latin	0
Alhambra	amenity	Bihać	latin	0
Ali Baba	amenity	Mostar	latin	0
Ali Baba (Pećina)	amenity	Mostar	latin	1
Alibaba	amenity	Sarajevo	latin	0
Alibi	amenity	Livno	latin	0
All White	amenity	Banja Luka	latin	0
Allo Allo	amenity	Livno	latin	0
Alpha Plus	amenity	Mostar	latin	0
Alta	amenity	Sarajevo	latin	0
Altea	amenity	Travnik	latin	0
Alter Ego	amenity	Banja Luka	latin	0
Altermedia d.o.o.	amenity	Sarajevo	latin	0
Amadeus	amenity	Banja Luka	latin	0
Amar's Doner II	amenity	Sarajevo	latin	0
Ambasada Države Katar	amenity	Sarajevo	latin	1
Ambasada Grčke	amenity	Sarajevo	latin	1
Ambasada Islamske Republike Iran	amenity	Sarajevo	latin	0
Ambasada Kraljevine Norveške	amenity	Sarajevo	latin	1
Ambasada Kraljevine Saudijske Arabije	amenity	Sarajevo	latin	0
Ambasada Švedske	amenity	Sarajevo	latin	1
Ambasador	amenity	Sarajevo	latin	0
Ambulanta	amenity	Sarajevo	latin	0
Ambulanta "Buća Potok"	amenity	Sarajevo	latin	1
Ambulanta "Medrese"	amenity	Sarajevo	latin	0
Ambulanta "Šip"	amenity	Sarajevo	latin	1
Ambulanta Balinovac	amenity	Mostar	latin	0
Ambulanta Butmir	amenity	Sarajevo	latin	0
Ambulanta Cim	amenity	Mostar	latin	0
Ambulanta Donja Gračanica	amenity	Zenica	latin	1
Ambulanta Grčica	amenity	Brčko	latin	1
Ambulanta Ilići	amenity	Mostar	latin	1
Ambulanta Kampus	amenity	Banja Luka	latin	0
Ambulanta Mikrostanica	amenity	Tuzla	latin	0
Ambulanta Ozimice II	amenity	Bihać	latin	0
Ambulanta Rudnik	amenity	Mostar	latin	0
Ambulanta Sedrenik	amenity	Sarajevo	latin	0
Ambulanta Sjenjak	amenity	Tuzla	latin	0
Ambulanta Splitska	amenity	Mostar	latin	0
Ambulanta Tilava	amenity	Istočno Sarajevo	latin	0
Ambulanta obiteljske medicine Rodoč	amenity	Mostar	latin	1
Ambulanta porodične medicine Kočićev vijenac	amenity	Banja Luka	latin	1
Ambulanta porodične medicine Nova varoš	amenity	Banja Luka	latin	1
Ambulanta porodične medicine Paprikovac	amenity	Banja Luka	latin	1
Ambulanta porodične medicine Starčevica 1	amenity	Banja Luka	latin	1
Ambulanta porodične medicine Starčevica 2	amenity	Banja Luka	latin	1
American Councils for Education	amenity	Sarajevo	latin	0
Američki kutak "Corner"	amenity	Doboj	latin	1
Američki kutak Banja Luka	amenity	Banja Luka	latin	1
Američki kučak	amenity	Sarajevo	latin	1
Amfiteatar Beli vuk	amenity	Istočno Sarajevo	latin	0
Ami	amenity	Banja Luka	latin	0
Amici Café & Pizzeria	amenity	Zenica	latin	0
Amident	amenity	Travnik	latin	0
Amore mio	amenity	Mostar	latin	0
Amplius Electronics d.o.o.	amenity	Mostar	latin	0
Andrej Obradović	amenity	Banja Luka	latin	1
Angelo	amenity	Banja Luka	latin	0
Antalya	amenity	Tuzla	latin	0
Antun Branko Šimić	amenity	Mostar	latin	1
Antunovic	amenity	Brčko	latin	0
Apart AS	amenity	Mostar	latin	0
Apartamenti Jelena	amenity	Trebinje	latin	0
Aparthotel Park	amenity	Brčko	latin	0
Apartman Balkon	amenity	Mostar	latin	0
Apartman Family	amenity	Bihać	latin	0
Apartman Hasić	amenity	Tuzla	latin	1
Apartman Jelena	amenity	Banja Luka	latin	0
Apartman Lucija	amenity	Livno	latin	0
Apartman Luka	amenity	Livno	latin	0
Apartman Nadja	amenity	Trebinje	latin	0
Apartman Nikolić	amenity	Trebinje	latin	1
Apartman Nives 1	amenity	Prijedor	latin	0
Apartman Olivia	amenity	Banja Luka	latin	0
Apartman Zdenka	amenity	Livno	latin	0
Apartmani	amenity	Bijeljina	latin	0
Apartmani Aman	amenity	Bihać	latin	0
Apartmani Kuzmanovic stan na dan	amenity	Doboj	latin	0
Apartmani Oasis	amenity	Mostar	latin	0
Apartmani Platz	amenity	Mostar	latin	0
Apartmani Roki	amenity	Tuzla	latin	0
Apartmani Sladjo	amenity	Trebinje	latin	0
Apartment "Relaxation"	amenity	Sarajevo	latin	0
Apartment Adi	amenity	Travnik	latin	0
Apartment Berković	amenity	Sarajevo	latin	1
Apartment Istočno Sarajevo 2	amenity	Istočno Sarajevo	latin	1
Apartment Kirlic	amenity	Sarajevo	latin	0
Apartment Lara	amenity	Doboj	latin	0
Apartment Luna	amenity	Sarajevo	latin	0
Apartment Magnolija	amenity	Bihać	latin	0
Apartment Nene	amenity	Mostar	latin	0
Apartment Panorama Mostar	amenity	Mostar	latin	0
Apartment Solis	amenity	Mostar	latin	0
Apartment Vukojević	amenity	Trebinje	latin	1
Apartments Aida	amenity	Bihać	latin	0
