clip	reference	terms	categories	spoken_forms	hr_variants	sr_variants	croatian_reference	serbian_reference
00000.wav	U izjavi dostavljenoj kasno u nedjelju putem glasnogovornika, predsjednik Sjedinjenih Država Donald Trump najavio je da će trupe SAD-a napustiti Siriju.	nedjelju|predsjedava	yat|yat	nedjelju|predsjednik	|	nedelju|predsednik	U izjavi dostavljenoj kasno u nedjelju putem glasnogovornika, predsjednik Sjedinjenih Država Donald Trump najavio je da će trupe SAD-a napustiti Siriju.	U izjavi dostavljenoj kasno u nedelju putem glasnogovornika, predsednik Sjedinjenih Država Donald Trump najavio je da će trupe SAD-a napustiti Siriju.
00002.wav	Centralni organ crkve je u Rimu više od hiljadu godina i zbog ove koncentracije moći i novca mnogi se pitaju da li se ovo pravilo poštuje.	hiljada	lex	hiljadu	tisuću		Centralni organ crkve je u Rimu više od tisuću godina i zbog ove koncentracije moći i novca mnogi se pitaju da li se ovo pravilo poštuje.	Centralni organ crkve je u Rimu više od hiljadu godina i zbog ove koncentracije moći i novca mnogi se pitaju da li se ovo pravilo poštuje.
00003.wav	Velika područja dalje prema sjeveru prilično su rijetko naseljena, a neka predstavljaju gotovo nenaseljenu divljinu.	sjeveru|rijetko	yat|yat	sjeveru|rijetko	|	severu|retko	Velika područja dalje prema sjeveru prilično su rijetko naseljena, a neka predstavljaju gotovo nenaseljenu divljinu.	Velika područja dalje prema severu prilično su retko naseljena, a neka predstavljaju gotovo nenaseljenu divljinu.
00004.wav	Prošle sedmice, METI je najavio da ga je Apple obavijestio o 34 dodatna slučaja pregrijavanja, za što kompanija navodi da „nije ozbiljno“.	sedmica	lex	sedmice	tjednima	nedelje	Prošle tjednima, METI je najavio da ga je Apple obavijestio o 34 dodatna slučaja pregrijavanja, za što kompanija navodi da „nije ozbiljno“.	Prošle nedelje, METI je najavio da ga je Apple obavijestio o 34 dodatna slučaja pregrijavanja, za što kompanija navodi da „nije ozbiljno“.
00008.wav	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svijest o prosvjetljenju.	svijest	yat	svijest		svest	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svijest o prosvjetljenju.	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svest o prosvjetljenju.
00016.wav	Kao rezultat toga su izumrle dvije vrste riba, a još dvije su ugrožene, uključujući grbastog klijena.	dvije	yat	dvije		dve	Kao rezultat toga su izumrle dvije vrste riba, a još dvije su ugrožene, uključujući grbastog klijena.	Kao rezultat toga su izumrle dve vrste riba, a još dve su ugrožene, uključujući grbastog klijena.
00017.wav	Jedan je posmatrač opisao da Biškek tone u stanje „anarhije“, dok su bande lutale ulicama i pljačkale prodavnice robe široke potrošnje.	prodavnica	lex	prodavnice	prodavaonice		Jedan je posmatrač opisao da Biškek tone u stanje „anarhije“, dok su bande lutale ulicama i pljačkale prodavaonice robe široke potrošnje.	Jedan je posmatrač opisao da Biškek tone u stanje „anarhije“, dok su bande lutale ulicama i pljačkale prodavnice robe široke potrošnje.
00020.wav	Prije dolaska trupa, Haiti se od 1800. godine nije sretao s problemima vezanim za ovu bolest.	prije	yat	prije		pre	Prije dolaska trupa, Haiti se od 1800. godine nije sretao s problemima vezanim za ovu bolest.	pre dolaska trupa, Haiti se od 1800. godine nije sretao s problemima vezanim za ovu bolest.
00026.wav	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svjedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.	svjedok	yat	svjedoci		svedoci	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svjedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.
00027.wav	USA Gymnastics podržava pismo Olimpijskog komiteta Sjedinjenih Država i prihvata apsolutnu potrebu da olimpijska porodica promovira sigurno okruženje za sve sportaše.	porodica	lex	porodica	obitelj		USA Gymnastics podržava pismo Olimpijskog komiteta Sjedinjenih Država i prihvata apsolutnu potrebu da olimpijska obitelj promovira sigurno okruženje za sve sportaše.	USA Gymnastics podržava pismo Olimpijskog komiteta Sjedinjenih Država i prihvata apsolutnu potrebu da olimpijska porodica promovira sigurno okruženje za sve sportaše.
00029.wav	Kao što Mjesec privlači Zemlju i na taj način izaziva plimu, tako i Mliječni put primjenjuje silu na galaksiju Strijelca.	mjesec	yat	mjesec		mesec	Kao što Mjesec privlači Zemlju i na taj način izaziva plimu, tako i Mliječni put primjenjuje silu na galaksiju Strijelca.	Kao što mesec privlači Zemlju i na taj način izaziva plimu, tako i Mliječni put primjenjuje silu na galaksiju Strijelca.
00033.wav	Slično, ako imate Schengen vizu, ne morate se posebno prijaviti za vizu za svaku zemlju članicu Schengen sistema, čime se štedi vrijeme, novac i smanjuje papirologija.	sistema	lex	sistema	sustava		Slično, ako imate Schengen vizu, ne morate se posebno prijaviti za vizu za svaku zemlju članicu Schengen sustava, čime se štedi vrijeme, novac i smanjuje papirologija.	Slično, ako imate Schengen vizu, ne morate se posebno prijaviti za vizu za svaku zemlju članicu Schengen sistema, čime se štedi vrijeme, novac i smanjuje papirologija.
00037.wav	Bolnica je pratila protokol za kontrolu infekcija, uključujći odvajanje pacijenta od ostalih kako bi se spriječilo zaražavanje drugih.	spriječi	yat	spriječilo		sprečilo	Bolnica je pratila protokol za kontrolu infekcija, uključujći odvajanje pacijenta od ostalih kako bi se spriječilo zaražavanje drugih.	Bolnica je pratila protokol za kontrolu infekcija, uključujći odvajanje pacijenta od ostalih kako bi se sprečilo zaražavanje drugih.
00041.wav	Na sjeveru posjetite i veliko svetište Gospe Fatimske (svetište), mjesto Marijinih ukazanja koja su poznata u cijelom svijetu.	sjeveru|svijet	yat|yat	sjeveru|svijetu	|	severu|svetu	Na sjeveru posjetite i veliko svetište Gospe Fatimske (svetište), mjesto Marijinih ukazanja koja su poznata u cijelom svijetu.	Na severu posjetite i veliko svetište Gospe Fatimske (svetište), mjesto Marijinih ukazanja koja su poznata u cijelom svetu.
00044.wav	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svijest o prosvjetljenju.	svijest	yat	svijest		svest	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svijest o prosvjetljenju.	Centar tibetanske meditacije je božanstvo Yoga. Kroz vizualizaciju različitih božanstava, kanali energije se čiste, čakre se aktiviraju i kreira se svest o prosvjetljenju.
00045.wav	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svjedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.	svjedok	yat	svjedoci		svedoci	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svjedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.	Od 1988. godine, glasačke kutije moraju da budu providne kako bi glasači i promatrači mogli biti svedoci da na početku glasanja nema koverti i da se u kutiju ne ubacuju nikakve koverte onih koje imaju propisno prebrojani i ovlašteni birači.
00046.wav	U kundalini jogi, kundalini energija (energija prosvetljenja) se budi kroz joga položaje, vježbe disanja, mantre i vizualizacije.	vježba	yat	vježbe		vežbe	U kundalini jogi, kundalini energija (energija prosvetljenja) se budi kroz joga položaje, vježbe disanja, mantre i vizualizacije.	U kundalini jogi, kundalini energija (energija prosvetljenja) se budi kroz joga položaje, vežbe disanja, mantre i vizualizacije.
