file	text	confidence
mly_1000110751498959_000.png	kuca	0.85
mly_1003308426968528_000.png	Gornja Kustosii	0.96
mly_1003737988035850_000.png	CITY	0.98
mly_1005462600845475_003.png	Popravci	1.00
mly_1007660293959804_001.png	USEUM	0.99
mly_1016139241427119_003.png	SHOP	0.99
mly_1016311227554887_006.png	bankomat	1.00
mly_1019483285623877_000.png	BAZAR	1.00
mly_1019953531870062_000.png	mala kuhinja	1.00
mly_1025005862470561_001.png	DREAM	1.00
mly_1025005862470561_002.png	BALKANS	0.99
mly_1025005862470561_004.png	TOURIST	1.00
mly_1025005862470561_005.png	INFORMATION	1.00
mly_1025005862470561_006.png	CENTRE	1.00
mly_1025005862470561_008.png	METERS	1.00
mly_1030932475472206_003.png	rana	0.93
mly_1036606274290869_002.png	BESPLATI	0.91
mly_1036606274290869_003.png	KONTROLA	0.98
mly_1039140966613744_003.png	mjesta	1.00
mly_1039152766799552_000.png	GRZELA	0.99
mly_1039317273823375_000.png	Gornji Grad	0.98
mly_1046606653386482_003.png	019kih	0.87
mly_1046606653386482_005.png	UFF	0.85
mly_1048583607442051_002.png	OMPUTERS	1.00
mly_1050203912567339_001.png	UniCred	0.90
mly_1050203912567339_008.png	guma	0.99
mly_1050462270700860_000.png	Travanj	1.00
mly_1052054143041859_002.png	JYSK	0.97
mly_1058110386432365_000.png	MOBITEL	1.00
mly_1059004521696787_000.png	STOP	1.00
mly_1061840607556166_001.png	OFFICE	0.98
mly_1061840607556166_004.png	KING	0.91
mly_1061840607556166_007.png	TOURIST	1.00
mly_1074002663124564_000.png	Centar	1.00
mly_1086676411743176_001.png	CEVA	0.89
mly_1086772018483944_000.png	ALTAZAR	0.93
mly_1086772018483944_003.png	ENI PARTNER	0.99
mly_1088676871655665_001.png	AUTOMATIC DOOR	0.86
mly_1091651041328506_002.png	CAFFE	1.00
mly_1093675804451813_004.png	STOLA	0.91
mly_1098600857298858_000.png	Autocentar N	1.00
